,Looks Good to contact,Event Name,capacity,start,end,category,eventbrite_url,Unnamed: 7,website,tel,email generic,contact,email contact,probable_phones,possible_phones,unfiltered_results,searched
4273,,GIVE YOUR IMMUNE SYSTEM A BLAST ? PHYTO-NUTRIENTS THAT FIGHT,35,7/15/2016,7/15/2016,Health & Wellness,http://www.eventbrite.com/e/give-your-immune-system-a-blast-phyto-nutrients-that-fight-tickets-22184547579?aff=ebapi,,,,,,,,,,False
4274,,TRAIN TO WALK/JOG A FULL OR HALF-MARATHON IN SIX MONTHS,35,6/24/2016,6/24/2016,Health & Wellness,http://www.eventbrite.com/e/train-to-walkjog-a-full-or-half-marathon-in-six-months-tickets-22184394120?aff=ebapi,,,,,,,,,,False
4275,,Camp Congress for Girls San Diego 2016,35,5/21/2016,5/21/2016,Family & Education; Education,http://www.eventbrite.com/e/camp-congress-for-girls-san-diego-2016-tickets-15641147092?aff=ebapi,,http://ccfgsandiego2016.eventbrite.com,,,,,,,,False
4276,,Polka Dot Powerhouse San Diego Launch!,35,5/11/2016,5/11/2016,Business & Professional,http://www.eventbrite.com/e/polka-dot-powerhouse-san-diego-launch-tickets-22002331566?aff=ebapi,,,,,,,,,,False
4277,,UNIVERSAL SOUND AND BLISSED YOGA AT SLEEP BEDDER NORTH PARK,35,5/11/2016,5/11/2016,Charity & Causes; Healthcare,http://www.eventbrite.com/e/universal-sound-and-blissed-yoga-at-sleep-bedder-north-park-tickets-20086238480?aff=ebapi,,,,,,,,,,False
4278,,7 Habits of Highly Effective People,35,5/16/2016,5/16/2016,,http://www.eventbrite.com/e/7-habits-of-highly-effective-people-registration-18006698520?aff=ebapi,,,,,,,,,,False
4279,,How NOT To Marry A Jerk/Jerkette,35,6/17/2016,6/17/2016,,http://www.eventbrite.com/e/how-not-to-marry-a-jerkjerkette-registration-18456468795?aff=ebapi,,,,,,,,,,False
4280,,STARS (Spouse Transition and Readiness Seminar),35,7/27/2016,7/27/2016,Business & Professional; Other,http://www.eventbrite.com/e/stars-spouse-transition-and-readiness-seminar-tickets-22063970931?aff=ebapi,,,,,,,,,,False
4281,,Certified ScrumMaster Training in San Jose,35,6/25/2016,6/25/2016,Science & Technology; High Tech,http://www.eventbrite.com/e/certified-scrummaster-training-in-san-jose-tickets-19232977353?aff=ebapi,,,,,,,,,,False
4282,,Workshop: Leadership+PMA (Positive Mental Attitude)=Success,35,5/21/2016,5/21/2016,Business & Professional,http://www.eventbrite.com/e/workshop-leadershippma-positive-mental-attitudesuccess-tickets-24209695852?aff=ebapi,,,,,,,,,,False
4283,,Humanities West Book Discussion: Celtic Myths and Legends (MLF),35,5/23/2016,5/23/2016,Community & Culture,http://www.eventbrite.com/e/humanities-west-book-discussion-celtic-myths-and-legends-mlf-tickets-20439250348?aff=ebapi,,,,,,,,,,False
4284,,Family Economic Success: Helping Families to Access Public Health Benefits and Programs,35,6/2/2016,6/2/2016,Other,http://www.eventbrite.com/e/family-economic-success-helping-families-to-access-public-health-benefits-and-programs-tickets-21017980345?aff=ebapi,,http://familyeconomicsuccess060216.eventbrite.com,,,,,,,,False
4285,,Presidio Shuttle Tour,35,5/4/2016,5/4/2016,Travel & Outdoor,http://www.eventbrite.com/e/presidio-shuttle-tour-tickets-21229920263?aff=ebapi,,,,,,,,,,False
4286,,Mindfulness in Leadership: An Introduction,35,5/11/2016,5/11/2016,Business & Professional,http://www.eventbrite.com/e/mindfulness-in-leadership-an-introduction-tickets-24414396116?aff=ebapi,,,,,,,,,,False
4287,,Mindful Matters Live: Self Management for Results,35,5/17/2016,5/17/2016,Business & Professional,http://www.eventbrite.com/e/mindful-matters-live-self-management-for-results-registration-24477924130?aff=ebapi,,,,,,,,,,False
4288,,Bookworms Club,35,5/20/2016,5/20/2016,Family & Education; Children & Youth,http://www.eventbrite.com/e/bookworms-club-tickets-22749847406?aff=ebapi,,,,,,,,,,False
4289,,How to Start and Manage a Small Business,35,5/23/2016,5/23/2016,Business & Professional; Startups & Small Business,http://www.eventbrite.com/e/how-to-start-and-manage-a-small-business-registration-24272416451?aff=ebapi,,,,,,,,,,False
4290,,Socrates Caf? (MLF),35,5/23/2016,5/23/2016,Community & Culture,http://www.eventbrite.com/e/socrates-cafe-mlf-tickets-19233224091?aff=ebapi,,,,,,,,,,False
4291,,Manufacture Locally for Apparel and Sewn Products,35,5/24/2016,5/24/2016,Business & Professional; Startups & Small Business,http://www.eventbrite.com/e/manufacture-locally-for-apparel-and-sewn-products-tickets-22545033803?aff=ebapi,,,,,,,,,,False
4292,,Wireless Microphone Systems,35,6/2/2016,6/2/2016,"Film, Media & Entertainment",http://www.eventbrite.com/e/wireless-microphone-systems-tickets-24523462336?aff=ebapi,,,,,,,,,,False
4293,,Mindful Matters Live: Slowing Down To Speed Up,35,6/21/2016,6/21/2016,Business & Professional,http://www.eventbrite.com/e/mindful-matters-live-slowing-down-to-speed-up-registration-24477977289?aff=ebapi,,,,,,,,,,False
4294,,How to Manufacture Locally for Apparel and Sewn Products,35,6/28/2016,6/28/2016,Business & Professional; Startups & Small Business,http://www.eventbrite.com/e/how-to-manufacture-locally-for-apparel-and-sewn-products-tickets-22545291574?aff=ebapi,,,,,,,,,,False
4295,,How to Manufacture Locally for Apparel and Sewn Products,35,7/26/2016,7/26/2016,Business & Professional; Startups & Small Business,http://www.eventbrite.com/e/how-to-manufacture-locally-for-apparel-and-sewn-products-tickets-22545400901?aff=ebapi,,,,,,,,,,False
4296,,Pride Bus Fresno to San Francisco,35,6/26/2016,6/26/2016,Community & Culture; LGBT,http://www.eventbrite.com/e/pride-bus-fresno-to-san-francisco-tickets-23348660472?aff=ebapi,,http://sfpridebus.eventbrite.com,,,,,,,,False
4297,,Jumpstarting Your Career (At The City),35,5/19/2016,5/19/2016,,http://www.eventbrite.com/e/jumpstarting-your-career-at-the-city-tickets-20737439239?aff=ebapi,,,,,,,,,,False
4298,,Analyzing Performance Problems,35,5/25/2016,5/25/2016,,http://www.eventbrite.com/e/analyzing-performance-problems-tickets-20536042857?aff=ebapi,,,,,,,,,,False
4299,,Safety 101,35,5/5/2016,5/5/2016,,http://www.eventbrite.com/e/safety-101-tickets-20743530458?aff=ebapi,,,,,,,,,,False
4300,,Positive Discipline Parenting Workshop,35,5/3/2016,5/3/2016,Family & Education; Parenting,http://www.eventbrite.com/e/positive-discipline-parenting-workshop-registration-22431956586?aff=ebapi,,,,,,,,,,False
4301,,Free Workshop: Financing Nonprofit Facilities and Multi-Tenant Centers,35,5/12/2016,5/12/2016,,http://www.eventbrite.com/e/free-workshop-financing-nonprofit-facilities-and-multi-tenant-centers-tickets-24112889301?aff=ebapi,,,,,,,,,,False
4302,,R&B City 2016 Ft. Rob Bess Hosted By Chuck Lounge,35,5/21/2016,5/21/2016,Music; R&B,http://www.eventbrite.com/e/rb-city-2016-ft-rob-bess-hosted-by-chuck-lounge-tickets-24414019991?aff=ebapi,,http://rnbcity2016.eventbrite.com,,,,,,,,False
4303,,Foray into Fermentation with Sandor Katz,35,5/18/2016,5/18/2016,Food & Drink,http://www.eventbrite.com/e/foray-into-fermentation-with-sandor-katz-tickets-23316443109?aff=ebapi,,,,,,,,,,False
4304,,Drag Bingo @ Chapter One with Orange County Imperial Court,35,5/19/2016,5/19/2016,,http://www.eventbrite.com/e/drag-bingo-chapter-one-with-orange-county-imperial-court-tickets-24380681274?aff=ebapi,,,,,,,,,,False
4305,,GVWP: Meeting the Needs of English Learners,35,7/26/2016,7/26/2016,Family & Education; Education,http://www.eventbrite.com/e/gvwp-meeting-the-needs-of-english-learners-tickets-23444001640?aff=ebapi,,http://2016integratingela.eventbrite.com,,,,,,,,False
4306,,Trifecta Fitness Prep - Surf City,35,6/3/2016,6/3/2016,Sports & Fitness; Other,http://www.eventbrite.com/e/trifecta-fitness-prep-surf-city-tickets-22989274539?aff=ebapi,,,,,,,,,,False
4307,,"First Saturdays (2016) - Habitat Restoration Day for Sabercat Creek in Fremont, CA",35,5/7/2016,5/7/2016,Charity & Causes,http://www.eventbrite.ca/e/first-saturdays-2016-habitat-restoration-day-for-sabercat-creek-in-fremont-ca-tickets-19539344706?aff=ebapi,,,,,,,,,,False
4308,,Big Data Analyst/ Intro to Data Science Training,35,5/15/2016,5/15/2016,Business & Professional; Career,http://www.eventbrite.com/e/big-data-analyst-intro-to-data-science-training-tickets-24370944150?aff=ebapi,,,,,,,,,,False
4309,,Identification & Assessment of Victims of Trafficking and Commercial Sexual Exploitation,35,5/17/2016,5/17/2016,,http://www.eventbrite.com/e/identification-assessment-of-victims-of-trafficking-and-commercial-sexual-exploitation-tickets-19446234210?aff=ebapi,,,,,,,,,,False
4310,,Identification & Assessment of Victims of Trafficking and Commercial Sexual Exploitation,35,6/9/2016,6/9/2016,,http://www.eventbrite.com/e/identification-assessment-of-victims-of-trafficking-and-commercial-sexual-exploitation-tickets-19446245243?aff=ebapi,,,,,,,,,,False
4311,,Bay Area Multifamily Building Enhancements Info Session in Santa Rosa,35,5/5/2016,5/5/2016,Business & Professional; Real Estate,http://www.eventbrite.com/e/bay-area-multifamily-building-enhancements-info-session-in-santa-rosa-tickets-24444599455?aff=ebapi,,http://santarosamultifamily2016.eventbrite.com,,,,,,,,False
4312,,Women?s Global Leadership Initiative Core Leadership Program,35,5/7/2016,5/7/2016,Business & Professional; Career,http://www.eventbrite.com/e/womens-global-leadership-initiative-core-leadership-program-tickets-24134220102?aff=ebapi,,,,,,,,,,False
4313,,Cooks and Books....at the Manheim Township Public Library,35,5/16/2016,5/16/2016,Food & Drink; Food,http://www.eventbrite.com/e/cooks-and-booksat-the-manheim-township-public-library-tickets-23170574813?aff=ebapi,,,,,,,,,,False
4314,,An Austen Afternoon (free),35,6/11/2016,6/11/2016,Hobbies & Special Interest; Books,http://www.eventbrite.com/e/an-austen-afternoon-free-tickets-24404289888?aff=ebapi,,http://lpl-austenafternoon.eventbrite.com,,,,,,,,False
4315,,Roadtreking Monterey Madness Gathering,35,5/3/2016,5/3/2016,Travel & Outdoor,http://www.eventbrite.com/e/roadtreking-monterey-madness-gathering-tickets-24380632127?aff=ebapi,,,,,,,,,,False
4316,,One-day course on programming the web using Django,35,5/7/2016,5/7/2016,Science & Technology; Other,http://www.eventbrite.com/e/one-day-course-on-programming-the-web-using-django-tickets-24383080450?aff=ebapi,,,,,,,,,,False
4317,,"Rose Bowl Stadium Tour - April 29, 10:30AM",35,6/29/2016,6/29/2016,Travel & Outdoor,http://www.eventbrite.com/e/rose-bowl-stadium-tour-april-29-1030am-tickets-24269397421?aff=ebapi,,,,,,,,,,False
4318,,"Rose Bowl Stadium Tour - May 27, 10:30AM",35,5/27/2016,5/27/2016,Travel & Outdoor,http://www.eventbrite.com/e/rose-bowl-stadium-tour-may-27-1030am-tickets-24269493709?aff=ebapi,,,,,,,,,,False
4319,,"Rose Bowl Stadium Tour - May 27, 12:30PM",35,5/27/2016,5/27/2016,Travel & Outdoor,http://www.eventbrite.com/e/rose-bowl-stadium-tour-may-27-1230pm-tickets-24269537841?aff=ebapi,,,,,,,,,,False
4320,,"Roseville, MN - Beer Class: Sierra Nevada Presents Beer Camp Across America: A Special Beer Event via Live Stream",35,5/14/2016,5/14/2016,Food & Drink; Beer,http://www.eventbrite.com/e/roseville-mn-beer-class-sierra-nevada-presents-beer-camp-across-america-a-special-beer-event-via-tickets-24440189264?aff=ebapi,,,,,,,,,,False
4321,,ServSafe MANAGER Class and Exam - ROSEVILLE,35,5/25/2016,5/25/2016,Business & Professional; Career,http://www.eventbrite.com/e/servsafe-manager-class-and-exam-roseville-registration-19969273635?aff=ebapi,,,,,,,,,,False
4322,,Community Readiness Assessment Training,35,6/2/2016,6/2/2016,Health & Wellness; Other,http://www.eventbrite.com/e/community-readiness-assessment-training-tickets-21458037568?aff=ebapi,,http://community-readiness.eventbrite.com,,,,,,,,False
4323,,???????? ????????????????? by ??,35,5/1/2016,5/1/2016,Hobbies & Special Interest; Books,http://www.eventbrite.com/e/by-tickets-24478085613?aff=ebapi,,,,,,,,,,False
4324,,Cinco de Mayo with the Padres,34,5/5/2016,5/5/2016,Business & Professional; Real Estate,http://www.eventbrite.com/e/cinco-de-mayo-with-the-padres-tickets-24194966797?aff=ebapi,,,,,,,,,,False
4325,,Composting & Worm Farming Workshop 3,34,6/17/2016,6/17/2016,Food & Drink,http://www.eventbrite.com.au/e/composting-worm-farming-workshop-3-registration-19570341418?aff=ebapi,,,,,,,,,,False
4326,,Pickling & Preserving 4,34,5/28/2016,5/28/2016,Food & Drink,http://www.eventbrite.com.au/e/pickling-preserving-4-registration-19570252151?aff=ebapi,,,,,,,,,,False
4327,,Pickling & Preserving 5,34,6/18/2016,6/18/2016,Food & Drink,http://www.eventbrite.com.au/e/pickling-preserving-5-registration-19570300295?aff=ebapi,,,,,,,,,,False
4328,,Confirmation Class: Ceremony,33,5/20/2016,5/20/2016,Religion & Spirituality,http://www.eventbrite.com/e/confirmation-class-ceremony-tickets-19396552611?aff=ebapi,,,,,,,,,,False
4329,,Cadwell Leslie/ImmDef Probabte Court Training,32,5/13/2016,5/13/2016,Charity & Causes; Human Rights,http://www.eventbrite.com/e/cadwell-leslieimmdef-probabte-court-training-tickets-24441377819?aff=ebapi,,http://immdef.eventbrite.com,,,,,,,,False
4330,,The Pan Am Experience,32,5/14/2016,5/14/2016,Food & Drink; Food,http://www.eventbrite.com/e/the-pan-am-experience-tickets-21732529581?aff=ebapi,,,,,,,,,,False
4331,,Hazardous Waste Management Training for Small Waste Generators,32,5/19/2016,5/19/2016,,http://www.eventbrite.com/e/hazardous-waste-management-training-for-small-waste-generators-tickets-19845197520?aff=ebapi,,,,,,,,,,False
4332,,Hazardous Waste Management Training for Small Waste Generators,32,7/21/2016,7/21/2016,,http://www.eventbrite.com/e/hazardous-waste-management-training-for-small-waste-generators-tickets-19845316877?aff=ebapi,,,,,,,,,,False
4333,,Rhonnie's 35th Birthday Yacht party,32,5/21/2016,5/21/2016,Food & Drink; Other,http://www.eventbrite.com/e/rhonnies-35th-birthday-yacht-party-tickets-22928934059?aff=ebapi,,,,,,,,,,False
4334,,May Veteran Career Transition Assistance Program (VetCTAP) - Oceanside,32,5/2/2016,5/2/2016,Business & Professional; Career,http://www.eventbrite.com/e/may-veteran-career-transition-assistance-program-vetctap-oceanside-registration-21385219768?aff=ebapi,,,,,,,,,,False
4335,,June Veteran Career Transition Assistance Program (VetCTAP) - Oceanside,32,6/6/2016,6/6/2016,Business & Professional; Career,http://www.eventbrite.com/e/june-veteran-career-transition-assistance-program-vetctap-oceanside-registration-22798862010?aff=ebapi,,,,,,,,,,False
4336,,HBB/ECEB Training,32,5/14/2016,5/14/2016,Health & Wellness; Medical,http://www.eventbrite.com/e/hbbeceb-training-tickets-22558467985?aff=ebapi,,,,,,,,,,False
4337,,BANK Fundamentals Workshop,32,6/4/2016,6/4/2016,Business & Professional; Sales & Marketing,http://www.eventbrite.com/e/bank-fundamentals-workshop-tickets-24244354517?aff=ebapi,,,,,,,,,,False
4338,,Sales Summit: Salesmanship Course For Contractors,31,7/26/2016,7/26/2016,Business & Professional; Sales & Marketing,http://www.eventbrite.com/e/sales-summit-salesmanship-course-for-contractors-tickets-20079138243?aff=ebapi,,,,,,,,,,False
4339,,AKF Partners Los Angeles Scalability Workshop,30,6/22/2016,6/22/2016,Business & Professional,http://www.eventbrite.com/e/akf-partners-los-angeles-scalability-workshop-tickets-21461606242?aff=ebapi,,http://lascalabilityworkshop.eventbrite.com,,,,,,,,False
4340,,PLATFORM PRECISION-MEDIUM WORKSHOP,30,5/14/2016,5/14/2016,Religion & Spirituality; Other,http://www.eventbrite.com/e/platform-precision-medium-workshop-tickets-21849315892?aff=ebapi,,http://platformperfection.eventbrite.com,,,,,,,,False
4341,,12 Secrets Of Successful Service Contracting,30,6/7/2016,6/7/2016,Business & Professional; Other,http://www.eventbrite.com/e/12-secrets-of-successful-service-contracting-tickets-20084017838?aff=ebapi,,,,,,,,,,False
4342,,Build a SMARTer Lifestyle Workshop: Healthy Eating,30,5/3/2016,5/3/2016,Health & Wellness,http://www.eventbrite.com/e/build-a-smarter-lifestyle-workshop-healthy-eating-tickets-21853934707?aff=ebapi,,,,,,,,,,False
4343,,"US Air Guitar - 2016 Qualifier - Los Angeles, California",30,5/14/2016,5/14/2016,Music,http://www.eventbrite.com/e/us-air-guitar-2016-qualifier-los-angeles-california-tickets-24485033394?aff=ebapi,,http://2016usagqclosangelescalifornia.eventbrite.com,,,,,,,,False
4344,,Photography 101: How to Take Professional-Looking Project Photography and Headshots,30,5/25/2016,5/25/2016,Business & Professional,http://www.eventbrite.com/e/photography-101-how-to-take-professional-looking-project-photography-and-headshots-tickets-24518090268?aff=ebapi,,,,,,,,,,False
4345,,Free Intro to Real Estate Training Session - Westwood,30,5/2/2016,5/2/2016,Business & Professional; Real Estate,http://www.eventbrite.com/e/free-intro-to-real-estate-training-session-westwood-tickets-24498390345?aff=ebapi,,http://freewestside.eventbrite.com,,,,,,,,False
4346,,????? ???? ??? ?? ?? (???) - Korean SCAT,30,5/6/2016,5/6/2016,Family & Education; Education,http://www.eventbrite.com/e/-korean-scat-registration-20531194355?aff=ebapi,,http://fdlrc-scat-kor-2016.eventbrite.com,,,,,,,,False
4347,,Heart of Hollywood Tour,30,5/1/2016,5/1/2016,Travel & Outdoor; Travel,http://www.eventbrite.com/e/heart-of-hollywood-tour-tickets-21975880450?aff=ebapi,,,,,,,,,,False
4348,,7th & Bunker Hill Tour,30,5/1/2016,5/1/2016,Travel & Outdoor; Travel,http://www.eventbrite.com/e/7th-bunker-hill-tour-tickets-21975952666?aff=ebapi,,,,,,,,,,False
4349,,EFFECTS,30,5/1/2016,5/1/2016,Performing & Visual Arts; Theatre,http://www.eventbrite.com/e/effects-tickets-21642592577?aff=ebapi,,,,,,,,,,False
4350,,Empire to Now Tour,30,5/2/2016,5/2/2016,Travel & Outdoor; Travel,http://www.eventbrite.com/e/empire-to-now-tour-tickets-21975911543?aff=ebapi,,,,,,,,,,False
4351,,Free Intro to Real Estate Training Session - Brentwood,30,5/3/2016,5/3/2016,Business & Professional; Real Estate,http://www.eventbrite.com/e/free-intro-to-real-estate-training-session-brentwood-tickets-24498242904?aff=ebapi,,http://freebrentwood.eventbrite.com,,,,,,,,False
4352,,Historic Core Tour,30,5/3/2016,5/3/2016,Travel & Outdoor; Travel,http://www.eventbrite.com/e/historic-core-tour-tickets-21975929597?aff=ebapi,,,,,,,,,,False
4353,,Blind Scotch Tasting with Edrington,30,5/4/2016,5/4/2016,Food & Drink,http://www.eventbrite.com/e/blind-scotch-tasting-with-edrington-tickets-24357901138?aff=ebapi,,,,,,,,,,False
4354,,USC Marshall Alumni Networking Lunch - Century City,30,5/6/2016,5/6/2016,Business & Professional,http://www.eventbrite.com/e/usc-marshall-alumni-networking-lunch-century-city-tickets-21003090810?aff=ebapi,,,,,,,,,,False
4355,,Birthday Pie: A Comedy Show,30,5/6/2016,5/6/2016,"Film, Media & Entertainment; Comedy",http://www.eventbrite.com/e/birthday-pie-a-comedy-show-tickets-23208800146?aff=ebapi,,,,,,,,,,False
4356,,Entrepreneur Training Program/??????????????,30,5/7/2016,5/7/2016,Business & Professional,http://www.eventbrite.com/e/entrepreneur-training-program-tickets-24327380851?aff=ebapi,,,,,,,,,,False
4357,,Singles Events | Let's Get Cheeky! Speed Dating in LA,30,5/11/2016,5/11/2016,Food & Drink; Spirits,http://www.eventbrite.com/e/singles-events-lets-get-cheeky-speed-dating-in-la-tickets-22248631255?aff=ebapi,,,,,,,,,,False
4358,,Relish Speed Dating @ The Next Door Lounge | Singles Event,30,5/11/2016,5/11/2016,Food & Drink; Wine,http://www.eventbrite.com/e/relish-speed-dating-the-next-door-lounge-singles-event-tickets-22304753117?aff=ebapi,,,,,,,,,,False
4359,,Photo Field Trip: Battleship USS Iowa with Mike Monezis,30,5/15/2016,5/15/2016,Hobbies & Special Interest; Photography,http://www.eventbrite.com/e/photo-field-trip-battleship-uss-iowa-with-mike-monezis-tickets-24034348383?aff=ebapi,,,,,,,,,,False
4360,,Beer & Cheese Pairing feat. Firestone Walker Brewing Co.,30,5/16/2016,5/16/2016,Food & Drink; Beer,http://www.eventbrite.com/e/beer-cheese-pairing-feat-firestone-walker-brewing-co-tickets-24471753674?aff=ebapi,,,,,,,,,,False
4361,,Build a SMARTer Lifestyle Workshop: Sensory Awareness,30,5/17/2016,5/17/2016,Health & Wellness,http://www.eventbrite.com/e/build-a-smarter-lifestyle-workshop-sensory-awareness-tickets-21854299799?aff=ebapi,,,,,,,,,,False
4362,,SOLO TRAVELING || INTENSIVE WORKSHOP,30,5/28/2016,5/28/2016,,http://www.eventbrite.com/e/solo-traveling-intensive-workshop-tickets-24497214829?aff=ebapi,,http://howtotravelintensive.eventbrite.com,,,,,,,,False
4363,,Build a SMARTer Lifestyle Workshop: Effective Communication,30,5/31/2016,5/31/2016,Health & Wellness,http://www.eventbrite.com/e/build-a-smarter-lifestyle-workshop-effective-communication-tickets-21854801299?aff=ebapi,,,,,,,,,,False
4364,,Cosmic Insight?: True Prosperity,30,6/22/2016,6/22/2016,Health & Wellness; Personal health,http://www.eventbrite.com/e/cosmic-insighttm-True-prosperity-tickets-24224964521?aff=ebapi,,,,,,,,,,False
4365,,"U.S. SBA Business Smart Toolkit ""Get Ready to Start Your Business Right""",30,7/14/2016,7/14/2016,Business & Professional; Startups & Small Business,http://www.eventbrite.com/e/us-sba-business-smart-toolkit-get-ready-to-start-your-business-right-tickets-24442962559?aff=ebapi,,,,,,,,,,False
4366,,"""The Leadership Transition?"" Public Workshop - Los Angeles, CA",30,7/21/2016,7/21/2016,Business & Professional; Career,http://www.eventbrite.com/e/the-leadership-transitiontm-public-workshop-los-angeles-ca-tickets-19966764129?aff=ebapi,,,,,,,,,,False
4367,,"Teacher Workshop: The Science and Economics of Concrete May 7, 2016",30,5/7/2016,5/7/2016,Family & Education; Education,http://www.eventbrite.com/e/teacher-workshop-the-science-and-economics-of-concrete-may-7-2016-tickets-21119226174?aff=ebapi,,,,,,,,,,False
4368,,Helping Others Succeed: Module 1 Open Session at Qualcomm,30,6/2/2016,6/2/2016,Business & Professional; Career,http://www.eventbrite.com/e/helping-others-succeed-module-1-open-session-at-qualcomm-tickets-21122711599?aff=ebapi,,,,,,,,,,False
4369,,Critical Incident Response for Managers & Supervisors,30,6/28/2016,6/28/2016,Other,http://www.eventbrite.com/e/critical-incident-response-for-managers-supervisors-tickets-21434779001?aff=ebapi,,,,,,,,,,False
4370,,Content Marketing Bootcamp with HubSpot and Elevator,30,6/2/2016,6/2/2016,Business & Professional; Sales & Marketing,http://www.eventbrite.com/e/content-marketing-bootcamp-with-hubspot-and-elevator-tickets-21322201278?aff=ebapi,,,,,,,,,,False
4371,,The Leadership Challenge? Workshop - San Diego,30,6/7/2016,6/7/2016,,http://www.eventbrite.com/e/the-leadership-challenge-workshop-san-diego-tickets-19711988087?aff=ebapi,,http://tlc-sandiego-june2016.eventbrite.com,,,,,,,,False
4372,,"Coaching Agile Teams class - San Diego, CA",30,6/14/2016,6/14/2016,Other,http://www.eventbrite.com/e/coaching-agile-teams-class-san-diego-ca-tickets-22819893917?aff=ebapi,,,,,,,,,,False
4373,,"Certified ScrumMaster (CSM) - San Diego, CA",30,7/19/2016,7/19/2016,Other,http://www.eventbrite.com/e/certified-scrummaster-csm-san-diego-ca-tickets-18517008872?aff=ebapi,,,,,,,,,,False
4374,,San Diego Scenic Tour,30,5/1/2016,5/1/2016,,http://www.eventbrite.com/e/san-diego-scenic-tour-tickets-20201948572?aff=ebapi,,,,,,,,,,False
4375,,San Diego ?Micro brewery? Tour,30,5/1/2016,5/1/2016,,http://www.eventbrite.com/e/san-diego-micro-brewery-tour-tickets-20201853287?aff=ebapi,,,,,,,,,,False
4376,,Cariloha Yoga + Shopping,30,5/4/2016,5/4/2016,Sports & Fitness; Yoga,http://www.eventbrite.com/e/cariloha-yoga-shopping-tickets-22672930345?aff=ebapi,,,,,,,,,,False
4377,,Genomics Coffee San Diego,30,5/12/2016,5/12/2016,Science & Technology,http://www.eventbrite.com/e/genomics-coffee-san-diego-tickets-17872359709?aff=ebapi,,,,,,,,,,False
4378,,Certified Biomedical Auditor Course,30,6/15/2016,6/15/2016,,http://www.eventbrite.com/e/certified-biomedical-auditor-course-tickets-19866356808?aff=ebapi,,,,,,,,,,False
4379,,CTO Update: On the Job Training In Dispatch,30,6/22/2016,6/22/2016,,http://www.eventbrite.com/e/cto-update-on-the-job-training-in-dispatch-registration-22133127781?aff=ebapi,,,,,,,,,,False
4380,,Certified Manager of Quality / Organizational Excellence Course,30,6/23/2016,6/23/2016,,http://www.eventbrite.com/e/certified-manager-of-quality-organizational-excellence-course-tickets-20002498010?aff=ebapi,,,,,,,,,,False
4381,,Leadership for Change (Leadership Coaching Participants),30,7/15/2016,7/15/2016,Business & Professional,http://www.eventbrite.com/e/leadership-for-change-leadership-coaching-participants-tickets-21066353029?aff=ebapi,,,,,,,,,,False
4382,,Off To The Races,30,5/3/2016,5/3/2016,Science & Technology; Science,http://www.eventbrite.com/e/off-to-the-races-tickets-19396112294?aff=ebapi,,,,,,,,,,False
4383,,Tipsy Tea Party,30,5/7/2016,5/7/2016,,http://www.eventbrite.com/e/tipsy-tea-party-tickets-24335914375?aff=ebapi,,http://tipsyteaparty.eventbrite.com,,,,,,,,False
4384,,Speed Dating in San Jose | Singles Event,30,5/10/2016,5/10/2016,Food & Drink; Food,http://www.eventbrite.com/e/speed-dating-in-san-jose-singles-event-tickets-24222931440?aff=ebapi,,,,,,,,,,False
4385,,"Ready, Set, Launch Your Rocket",30,5/17/2016,5/17/2016,,http://www.eventbrite.com/e/ready-set-launch-your-rocket-tickets-24308115227?aff=ebapi,,,,,,,,,,False
4386,,Volunteer Opportunity - Grocery Bag Program @St. Maria Goretti,30,5/18/2016,5/18/2016,Charity & Causes; Other,http://www.eventbrite.com/e/volunteer-opportunity-grocery-bag-program-st-maria-goretti-tickets-24520973893?aff=ebapi,,,,,,,,,,False
4387,,Let's Get Cheeky! Speed Dating in San Jose | Singles Event,30,5/23/2016,5/23/2016,Food & Drink; Food,http://www.eventbrite.com/e/lets-get-cheeky-speed-dating-in-san-jose-singles-event-tickets-24222976575?aff=ebapi,,,,,,,,,,False
4388,,201606 David Leikam/zBug ? Curated by Eddie Gale | Spiritual Jazz Sundays ? African American Journey Exhibit,30,6/12/2016,6/12/2016,Music; Blues & Jazz,http://www.eventbrite.com/e/201606-david-leikamzbug-curated-by-eddie-gale-spiritual-jazz-sundays-african-american-journey-tickets-21598073419?aff=ebapi,,http://artsearth-20160612.eventbrite.com,,,,,,,,False
4389,,Is Small Business Ownership Right for You?,30,6/25/2016,6/25/2016,Business & Professional; Career,http://www.eventbrite.com/e/is-small-business-ownership-right-for-you-tickets-24462235204?aff=ebapi,,http://bizownershipworkshop.eventbrite.com,,,,,,,,False
4390,,Regulatory Framework for Mobile Medical Technologies,30,5/18/2016,5/18/2016,,http://www.eventbrite.com/e/regulatory-framework-for-mobile-medical-technologies-tickets-23856400135?aff=ebapi,,,,,,,,,,False
4391,,Prospective SFUSD Intern Info/Interview Session,30,5/3/2016,5/3/2016,Other,http://www.eventbrite.com/e/prospective-sfusd-intern-infointerview-session-tickets-21067386119?aff=ebapi,,http://intern-may-3-am.eventbrite.com,,,,,,,,False
4392,,Suspension Open Space (SOS),30,5/28/2016,5/28/2016,Performing & Visual Arts,http://www.eventbrite.com/e/suspension-open-space-sos-tickets-24355719613?aff=ebapi,,http://suspensionopenspace.eventbrite.com,,,,,,,,False
